index,iso3,year,median,emissions
0,AFG,1990,3.23470505817249,9.221594220989878
1,AFG,1995,3.24364305889354,9.24707494158547
2,AFG,2000,3.3019983087514,9.413435838537755
3,AFG,2005,3.36047166837952,9.580133446366387
4,AFG,2010,3.4345114515182,9.79120828133163
5,AFG,2015,3.37208734377355,9.61324776224995
6,AFG,2018,3.39883388184266,9.68949759537351
7,ARE,1990,30.2530355593347,86.24626136361813
8,ARE,1995,40.9030140009874,116.6075394044349
9,ARE,2000,45.8457516502596,130.69844417710956
10,ARE,2005,42.6225786358746,121.5097258525104
11,ARE,2010,41.4520796102287,118.17283211522829
12,ARE,2015,39.5582877697194,112.77395352254915
13,ARE,2018,38.5120319315076,109.79125599129982
14,BHR,1990,14.8069422196177,42.21207508795273
15,BHR,1995,22.8748118743753,65.21219993582534
16,BHR,2000,24.625086715438,70.20193596097212
17,BHR,2005,30.8060728342078,87.82287661794462
18,BHR,2010,38.7509322490523,110.47232018356576
19,BHR,2015,35.3602667561337,100.80610927638863
20,BHR,2018,34.3003697534564,97.7845231042461
21,DJI,1990,3.47793597346832,9.91500421124269
22,DJI,1995,7.04604872094471,20.087087075130807
23,DJI,2000,19.7310684361998,56.24992182997147
24,DJI,2005,24.9538780171431,71.13926406761206
25,DJI,2010,22.739317764639,64.8259292629658
26,DJI,2015,56.6813818480341,161.58898381383105
27,DJI,2018,35.4671361103405,101.11077563744199
28,EGY,1990,9.61525521650784,27.411458028877046
29,EGY,1995,10.0380090201318,28.616657254862343
30,EGY,2000,12.5817448895254,35.868415783405695
31,EGY,2005,13.3465266659169,38.04867861499587
32,EGY,2010,15.2968492977261,43.6087168834365
33,EGY,2015,14.4555404619266,41.2102884150742
34,EGY,2018,14.3192515800809,40.82175198204203
35,IRN,1990,4.86694539141963,13.874833930220824
36,IRN,1995,5.87676070501765,16.753645720685466
37,IRN,2000,6.13049014596693,17.476985222826904
38,IRN,2005,7.2245087668923,20.595846327919574
39,IRN,2010,8.09140177651116,23.067210926531313
40,IRN,2015,8.41539044063971,23.990847529888907
41,IRN,2018,8.62206951114939,24.580054424470013
42,IRQ,1990,7.71106408005374,21.9829328113396
43,IRQ,1995,8.97863174538828,25.59655273870527
44,IRQ,2000,4.26859475523553,12.169037986068107
45,IRQ,2005,14.0561684122476,40.07174659468782
46,IRQ,2010,24.9277336551546,71.06473093612439
47,IRQ,2015,16.1973768811056,46.175967933962276
48,IRQ,2018,26.3526820059028,75.12701644288788
49,JOR,1990,42.218356796826,120.35735810709546
50,JOR,1995,52.8853883190556,150.76725158161327
51,JOR,2000,50.1745574437061,143.03913359724066
52,JOR,2005,55.6168477828954,158.5541781649117
53,JOR,2010,62.8131384022226,179.06957935120823
54,JOR,2015,57.9464352358521,165.19543596342425
55,JOR,2018,56.4829069878332,161.02316572812452
56,KWT,1990,8.49554949133648,24.219367356386776
57,KWT,1995,60.5550407266737,172.6321267548232
58,KWT,2000,37.4932929790346,106.8870044234212
59,KWT,2005,45.7803094263132,130.51187952181647
60,KWT,2010,119.74052361191,341.3598769285414
61,KWT,2015,68.897071290135,196.41383774605558
62,KWT,2018,69.9360203429618,199.37570487432578
63,LBN,1990,0.117372487033946,0.33460900721098424
64,LBN,1995,3.10742686673698,8.858745734499786
65,LBN,2000,6.1177356357365,17.440624282426686
66,LBN,2005,7.7760180594068,22.168105564298685
67,LBN,2010,15.415463926199,43.94686702472589
68,LBN,2015,9.394031544468207,26.780786947916297
69,LBN,2018,10.5195723994833,29.989512583618975
70,LBR,1990,93.32495564348568,266.0535832971183
71,LBR,1995,75.9161401645702,216.42400986536165
72,LBR,2000,78.2044630699508,222.94762945370786
73,LBR,2005,72.1007830663043,205.54707538891228
74,LBR,2010,72.1328304111044,205.63843692088875
75,LBR,2015,65.6396749336019,187.1275544909603
76,LBR,2018,57.204971817126,163.0816498054173
77,MAR,1990,8.64266962917779,24.638781858948917
78,MAR,1995,8.93438808552131,25.470421585846715
79,MAR,2000,9.80939814929316,27.964926525949423
80,MAR,2005,18.929044068368,53.963486701425545
81,MAR,2010,23.3069312775443,66.44409889396161
82,MAR,2015,37.3420418872883,106.45581327353811
83,MAR,2018,35.1198557108821,100.12073825625401
84,OMN,1990,27.6804698002406,78.91231372061992
85,OMN,1995,33.8191030792256,96.41251363134872
86,OMN,2000,40.165666723335,114.50548766488511
87,OMN,2005,43.1846915085976,123.1122140934553
88,OMN,2010,45.2953003550243,129.12920111111393
89,OMN,2015,31.5723354913668,90.00736118885321
90,OMN,2018,30.384446824513,86.62089254072639
91,PAK,1990,6.22305984125656,17.74088568724944
92,PAK,1995,6.52243337903052,18.594348749941577
93,PAK,2000,7.62808495547583,21.746373433619162
94,PAK,2005,4.69159233987233,13.374932190278235
95,PAK,2010,5.60652970590724,15.983263081491538
96,PAK,2015,5.50286835480729,15.687742191935264
97,PAK,2018,4.54925325456243,12.969147655704212
98,PSE,1990,13.4487207948045,38.34001670345251
99,PSE,1995,20.1600819869404,57.472966530829304
100,PSE,2000,22.1394206034191,63.11572443884527
101,PSE,2005,28.1355731455553,80.20973599054341
102,PSE,2010,35.4518060997392,101.0670723833195
