iso3,1990,1995,2000,2005,2010,2015,2018
AFG,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ARE,4.0,4.0,4.0,3.0,3.0,3.0,3.0
BHR,3.0,3.0,3.0,3.0,3.0,3.0,3.0
DJI,2.0,2.0,2.0,2.0,1.0,2.0,1.0
EGY,2.0,2.0,2.0,2.0,2.0,2.0,2.0
IRN,3.0,3.0,3.0,3.0,3.0,2.0,2.0
IRQ,4.0,3.0,4.0,3.0,3.0,3.0,3.0
JOR,3.0,3.0,3.0,3.0,3.0,3.0,3.0
KWT,3.0,4.0,4.0,3.0,3.0,4.0,4.0
LBN,3.0,3.0,3.0,3.0,3.0,3.0,3.0
LBR,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAR,3.0,3.0,3.0,3.0,3.0,3.0,3.0
OMN,3.0,3.0,3.0,3.0,4.0,4.0,4.0
PAK,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PSE,3.0,3.0,3.0,3.0,3.0,3.0,3.0
QAT,3.0,3.0,3.0,3.0,3.0,3.0,3.0
SAU,4.0,3.0,3.0,3.0,3.0,3.0,3.0
SDN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
SYR,3.0,3.0,3.0,3.0,3.0,3.0,3.0
TUN,3.0,3.0,3.0,3.0,3.0,4.0,4.0
YEM,2.0,2.0,2.0,2.0,2.0,2.0,2.0
