index,iso3,year,median,emissions
0,AFG,1990,11.0119478364042,39.851027905684795
1,AFG,1995,10.7451192332476,38.8854045420074
2,AFG,2000,11.7182524250895,42.407066518632135
3,AFG,2005,11.728044010539,42.44250118929948
4,AFG,2010,12.5438066022559,45.39465627483786
5,AFG,2015,10.3536873788749,37.46885571853659
6,AFG,2018,10.2993514632618,37.272220016883495
7,ARE,1990,65.7768930755357,238.03934058212536
8,ARE,1995,69.3369916252125,250.9229456225653
9,ARE,2000,71.7207700454315,259.5495775097116
10,ARE,2005,63.923058786016,231.3305182101254
11,ARE,2010,66.2027623327865,239.58051457849774
12,ARE,2015,63.3412471467844,229.22500588702655
13,ARE,2018,64.533174822762,233.5384610343452
14,BHR,1990,61.555323684803,222.76194532969672
15,BHR,1995,64.0130027391539,231.65601548269666
16,BHR,2000,65.9172207401738,238.5471709644076
17,BHR,2005,64.7352737322618,234.2698347569449
18,BHR,2010,66.112609713502,239.25426216609523
19,BHR,2015,65.6002738888284,237.4001751735422
20,BHR,2018,65.8516278428608,238.30979748425048
21,DJI,1990,10.4639234811221,37.86778804659796
22,DJI,1995,10.5301635793505,38.10750367567573
23,DJI,2000,12.300378249597,44.51371584368409
24,DJI,2005,11.8794332369379,42.99036214682219
25,DJI,2010,13.7241788268787,49.66629351480306
26,DJI,2015,10.8180941077254,39.14949258550637
27,DJI,2018,10.9310038483778,39.55810051685594
28,EGY,1990,13.9716223734214,50.56176449095097
29,EGY,1995,14.4505557489807,52.29497169442876
30,EGY,2000,15.2197370234836,55.07855411691456
31,EGY,2005,15.8766555848196,57.455870129347794
32,EGY,2010,15.8042953727507,57.19400648149377
33,EGY,2015,14.6830503993379,53.13634425965993
34,EGY,2018,14.6376075378347,52.97189154259462
35,IRN,1990,72.3342550000476,261.7697120771223
36,IRN,1995,73.2037282002031,264.916239946433
37,IRN,2000,75.8762047533533,274.5876386198628
38,IRN,2005,79.2390972733659,286.7575767316111
39,IRN,2010,77.0912082302355,278.9846025523169
40,IRN,2015,71.2513236061683,257.8507024851264
41,IRN,2018,70.7903331859359,256.1824288632516
42,IRQ,1990,56.5908886928576,204.7962011816954
43,IRQ,1995,48.835998460904,176.73210647018087
44,IRQ,2000,52.0995324516221,188.5424769938507
45,IRQ,2005,49.3312527193916,178.52437715367907
46,IRQ,2010,54.5928200111367,197.5654104101025
47,IRQ,2015,49.0433200110149,177.4823803546617
48,IRQ,2018,49.3475018684006,178.58318103653622
49,JOR,1990,31.154529533948,112.74481538510908
50,JOR,1995,33.4195144364889,120.94154659906533
51,JOR,2000,34.164137262619,123.63625469831926
52,JOR,2005,36.2483443682121,131.17877095067908
53,JOR,2010,36.939769976346,133.68096416969877
54,JOR,2015,35.0842547641214,126.96605872333129
55,JOR,2018,35.4376366518465,128.24490890300078
56,KWT,1990,65.5388918260521,237.17804024038165
57,KWT,1995,72.2054065411531,261.3034236777135
58,KWT,2000,72.6148555807097,262.7851747124745
59,KWT,2005,67.3765663940249,243.82838235767278
60,KWT,2010,68.8509573950539,249.1640412073866
61,KWT,2015,75.3258339390418,272.59590718365894
62,KWT,2018,75.8078345575317,274.3402144019059
63,LBN,1990,73.6245682725334,266.43921387578837
64,LBN,1995,75.5628703576929,273.4537159087513
65,LBN,2000,78.4827677740614,284.02050346987306
66,LBN,2005,77.7251584622891,281.2787987075934
67,LBN,2010,78.2393098407069,283.13945598943576
68,LBN,2015,76.4341459649895,276.6067664912408
69,LBN,2018,76.5359405986989,276.97515007322545
70,LBR,1990,5.34527748653812,19.343971243257936
71,LBR,1995,5.0981082129741,18.44949283084984
72,LBR,2000,5.27783530479104,19.099905406155248
73,LBR,2005,5.54938017469388,20.082596420397934
74,LBR,2010,5.87194292226601,21.249915521959238
75,LBR,2015,5.16793213041927,18.702177907452988
76,LBR,2018,5.20284712109828,18.828531418071353
77,MAR,1990,43.9566423262223,159.07425334794263
78,MAR,1995,43.5847726562638,157.7284979180265
79,MAR,2000,51.6397241399907,186.87848129297092
80,MAR,2005,50.3218010030329,182.10906243186574
81,MAR,2010,57.0453115746787,206.440707604489
82,MAR,2015,53.0199558795393,191.87338813290597
83,MAR,2018,53.15394871294,192.35829345777142
84,OMN,1990,50.9626997239663,184.42840440406442
85,OMN,1995,56.5899963456151,204.792971875183
86,OMN,2000,59.9946854397317,217.11416719099063
87,OMN,2005,64.4750535764601,233.32812663731565
88,OMN,2010,69.1970169912289,250.41639281938836
89,OMN,2015,63.7694768350986,230.77472202376998
90,OMN,2018,63.1602851610936,228.57012436662998
91,PAK,1990,5.81244014436523,21.034581514041882
92,PAK,1995,6.13861822425904,22.214984105588794
93,PAK,2000,6.53562671213194,23.651714152267154
94,PAK,2005,7.23244394798151,26.173419078910804
95,PAK,2010,7.29021307430826,26.382479192483416
96,PAK,2015,5.98107404351189,21.64484904532474
97,PAK,2018,5.95875933013644,21.56409455223746
98,PSE,1990,56.6443144321412,204.98954305533147
99,PSE,1995,57.7687105337712,209.05860886355924
100,PSE,2000,60.4544201127514,218.7778964018349
101,PSE,2005,61.0018204328352,220.758877946183
102,PSE,2010,62.7185992775354,226.97171173948007
103,PSE,2015,61.4589135026082,222.41304748545377
104,PSE,2018,62.0782853627541,224.6544861164172
105,QAT,1990,60.8829765995397,220.3287951863082
106,QAT,1995,63.0172024355544,228.05232372200348
107,QAT,2000,65.0169764119527,235.2892857674515
108,QAT,2005,65.2064964557677,235.97513795881318
109,QAT,2010,66.7505190032681,241.5627857157369
110,QAT,2015,65.801474337589,238.12829746555744
111,QAT,2018,65.7158956536526,237.81859762204684
112,SAU,1990,59.9638121875422,217.00244028737458
113,SAU,1995,58.7532383833537,212.62150685313486
114,SAU,2000,60.9717736792979,220.65014205027435
115,SAU,2005,66.3037589617126,239.9460102689521
116,SAU,2010,71.4820155732998,258.68555133805893
117,SAU,2015,68.0326845643008,246.2028018429025
118,SAU,2018,68.2558236199077,247.01031753984776
119,SDN,1990,7.02617522399829,25.426955256375173
120,SDN,1995,7.52103251261172,27.217789349565425
121,SDN,2000,8.1739751955361,29.580717095373632
122,SDN,2005,8.50172124584704,30.766793999383395
123,SDN,2010,8.877494431581,32.12667582350417
124,SDN,2015,8.10942147025025,29.347104264473927
125,SDN,2018,8.16769766573363,29.55799940554678
126,SYR,1990,54.1140804777923,195.83290470027777
127,SYR,1995,55.8126571690788,201.97986690260754
128,SYR,2000,57.2359989101134,207.1307840958203
129,SYR,2005,58.4380251887801,211.4807849754244
130,SYR,2010,59.9707395352422,217.02750959669262
131,SYR,2015,58.228153959041,210.7212840808339
132,SYR,2018,58.9338439248299,213.27509844112768
133,TUN,1990,40.6901643136228,147.25322873292643
134,TUN,1995,46.8037517822855,169.3776292873952
135,TUN,2000,47.1677257698622,170.69481111129662
136,TUN,2005,43.2464578215173,156.50417374571074
137,TUN,2010,50.746135415745,183.6446819946854
138,TUN,2015,49.0081713063713,177.355181058914
139,TUN,2018,48.9126804033212,177.00960998477504
140,YEM,1990,13.7403426071802,49.72478845769835
141,YEM,1995,13.3429949646602,48.28683104765915
142,YEM,2000,14.1836926256267,51.3292234059542
143,YEM,2005,15.2353373209598,55.13500987744821
144,YEM,2010,15.4849481514259,56.03832401571367
145,YEM,2015,16.0834629890736,58.20428337652856
146,YEM,2018,16.1190445691322,58.33304920078682
147,EMR,1990,50.9626997239663,184.42840440406442
148,EMR,1995,48.835998460904,176.73210647018087
149,EMR,2000,52.0995324516221,188.5424769938507
150,EMR,2005,50.3218010030329,182.10906243186574
151,EMR,2010,57.0453115746787,206.440707604489
152,EMR,2015,53.0199558795393,191.87338813290597
153,EMR,2018,53.15394871294,192.35829345777142
