Country,1990,1995,2000,2005,2010,2015,2018
AFG,10.0,10.0,9.0,6.0,6.0,5.0,5.0
ARE,6.0,3.0,0.0,2.0,1.0,4.0,4.0
BHR,1.0,1.0,1.0,1.0,2.0,2.0,2.0
DJI,10.0,10.0,10.0,6.0,4.0,7.0,10.0
EGY,2.0,2.0,3.0,2.0,3.0,3.0,2.0
IRN,0.0,0.0,0.0,2.0,6.0,3.0,6.0
IRQ,9.0,10.0,2.0,2.0,2.0,0.0,1.0
JOR,1.0,0.0,1.0,2.0,3.0,3.0,3.0
KWT,0.0,0.0,2.0,2.0,2.0,3.0,2.0
LBN,2.0,2.0,2.0,2.0,3.0,3.0,3.0
LBR,0.0,10.0,10.0,5.0,0.0,1.0,1.0
MAR,2.0,3.0,2.0,3.0,3.0,3.0,3.0
OMN,1.0,1.0,2.0,2.0,4.0,3.0,3.0
PAK,4.0,4.0,4.0,7.0,8.0,9.0,10.0
PSE,1.0,1.0,1.0,1.0,1.0,1.0,1.0
QAT,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SAU,1.0,5.0,4.0,2.0,3.0,2.0,3.0
SDN,4.0,4.0,4.0,4.0,4.0,4.0,4.0
SYR,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YEM,1.0,0.0,1.0,2.0,3.0,2.0,2.0
